produto,ano,fonte,unidade_padrao,preco_mediano,preco_medio,preco_min,preco_max,n_registros,ratio_max_min
linguica,2021,municipal,kg,19.84,19.84,17.96,21.71,4,1.2
linguica,2022,municipal,kg,21.45,22.48,13.6,39.9,16,2.9
linguica,2023,federal,kg,20.12,20.12,19.75,20.48,2,1.0
linguica,2023,municipal,kg,19.9,20.89,13.0,25.0,49,1.9
linguica,2024,federal,kg,26.7,25.49,18.9,29.68,4,1.6
linguica,2024,municipal,kg,18.0,17.24,13.0,19.5,27,1.5
linguica,2025,federal,kg,18.95,19.66,14.37,26.86,20,1.9
linguica,2025,municipal,kg,17.5,17.48,16.0,19.15,27,1.2
linguica,2026,municipal,kg,16.89,17.23,16.0,18.8,7,1.2
loratadina,2019,estadual,unidade,0.6,0.95,0.07,3.45,19,47.7
loratadina,2019,federal,unidade,1.68,1.68,0.14,3.21,2,22.9
loratadina,2020,estadual,unidade,0.25,0.63,0.1,2.89,7,30.2
loratadina,2020,federal,unidade,0.19,0.17,0.12,0.19,3,1.6
loratadina,2020,municipal,unidade,0.09,0.09,0.09,0.09,3,1.1
loratadina,2021,estadual,unidade,0.16,1.03,0.15,2.64,5,17.5
loratadina,2021,federal,unidade,0.19,1.03,0.12,2.78,3,23.2
loratadina,2021,municipal,unidade,2.18,1.38,0.09,2.53,9,28.1
loratadina,2022,estadual,unidade,0.24,1.12,0.13,3.05,9,24.0
loratadina,2022,federal,unidade,0.13,0.99,0.1,2.75,3,27.5
loratadina,2022,municipal,unidade,0.08,1.09,0.06,3.2,17,51.2
loratadina,2023,estadual,unidade,0.13,0.14,0.08,0.24,6,2.9
loratadina,2023,municipal,unidade,0.07,1.29,0.06,3.34,57,55.7
loratadina,2024,estadual,unidade,0.09,1.53,0.08,3.57,7,44.4
loratadina,2024,federal,unidade,1.84,1.84,0.08,3.6,2,45.0
loratadina,2024,municipal,unidade,2.2,1.47,0.05,3.05,61,61.0
loratadina,2025,estadual,unidade,3.91,3.56,2.53,3.91,4,1.5
loratadina,2025,municipal,unidade,0.07,1.08,0.04,2.64,65,66.1
loratadina,2026,municipal,unidade,0.06,1.13,0.04,2.72,13,68.0
losartana,2019,estadual,unidade,0.07,0.29,0.06,1.12,8,19.7
losartana,2020,estadual,unidade,0.22,0.47,0.07,2.29,13,30.7
