fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
federal,agua_sanitaria,2019,Federal/ES,2.99,litro,heuristica,ÁGUA SANITÁRIA
federal,cebola,2019,Federal/ES,3.88,kg,heuristica,CEBOLA IN NATURA
federal,cebola,2019,Federal/ES,3.88,kg,heuristica,CEBOLA IN NATURA
federal,carne_bovina,2019,Federal/ES,15.9,kg,heuristica,CARNE BOVINA IN NATURA
federal,carne_suina,2019,Federal/ES,11.9,kg,heuristica,CARNE SUÍNA IN NATURA
federal,carne_suina,2019,Federal/ES,15.9,kg,heuristica,CARNE SUÍNA IN NATURA
federal,carne_suina,2019,Federal/ES,13.9,kg,heuristica,CARNE SUÍNA IN NATURA
federal,carne_bovina,2019,Federal/ES,19.9,kg,heuristica,CARNE BOVINA IN NATURA
federal,agua_mineral,2019,Federal/ES,6.12,litro,heuristica,ÁGUA MINERAL NATURAL
federal,agua_mineral,2019,Federal/ES,7.74,litro,heuristica,ÁGUA MINERAL NATURAL
federal,disjuntor,2019,Federal/ES,9.6,unidade,unitario,DISJUNTOR BAIXA TENSÃO
federal,disjuntor,2019,Federal/ES,87.0,unidade,unitario,DISJUNTOR BAIXA TENSÃO
federal,torneira,2019,Federal/ES,61.9,unidade,unitario,TORNEIRA
federal,tubo_pvc,2019,Federal/ES,46.9,metro,unitario,TUBO PVC ROSCÁVEL
federal,tubo_pvc,2019,Federal/ES,32.56,metro,unitario,TUBO PVC ROSCÁVEL
federal,agua_mineral,2019,Federal/ES,10.0,litro,heuristica,ÁGUA MINERAL NATURAL
federal,alcool,2019,Federal/ES,25.0,litro,heuristica,ÁLCOOL ETÍLICO
federal,caneta_esferografica,2019,Federal/ES,0.88,unidade,unitario,CANETA ESFEROGRÁFICA
federal,envelope,2019,Federal/ES,0.221,unidade,unitario,'ENVELOPE'
federal,envelope,2019,Federal/ES,0.404,unidade,unitario,'ENVELOPE'
federal,grampeador,2019,Federal/ES,26.64,unidade,unitario,GRAMPEADOR
federal,papel_higienico,2019,Federal/ES,5.78,rolo,unitario,PAPEL HIGIÊNICO
federal,ar_condicionado,2019,Federal/ES,10160.0,unidade,unitario,AR CONDICIONADO - MANUTENCAO DE SISTEMAS / LIMPEZA
federal,acucar,2019,Federal/ES,8.59,kg,heuristica,'AÇÚCAR'
